Pokemon,Move
wartortle,reflect
wartortle,rest
wartortle,return
wartortle,rockslide
wartortle,rocksmash
wartortle,rocktomb
wartortle,rollout
wartortle,round
wartortle,scald
wartortle,secretpower
wartortle,seismictoss
wartortle,shellsmash
wartortle,skullbash
wartortle,sleeptalk
wartortle,snore
wartortle,strength
wartortle,submission
wartortle,substitute
wartortle,surf
wartortle,swagger
wartortle,tackle
wartortle,tailwhip
wartortle,takedown
wartortle,terablast
wartortle,toxic
wartortle,waterfall
wartortle,watergun
wartortle,waterpledge
wartortle,waterpulse
wartortle,wavecrash
wartortle,weatherball
wartortle,whirlpool
wartortle,withdraw
wartortle,workup
wartortle,zenheadbutt
blastoise,aquajet
blastoise,aquatail
blastoise,attract
blastoise,aurasphere
blastoise,avalanche
blastoise,bide
blastoise,bite
blastoise,blizzard
blastoise,bodypress
blastoise,bodyslam
blastoise,brickbreak
blastoise,brine
blastoise,bubble
blastoise,bubblebeam
blastoise,bulldoze
blastoise,captivate
blastoise,chillingwater
blastoise,confide
blastoise,counter
blastoise,crunch
blastoise,curse
blastoise,darkpulse
blastoise,defensecurl
blastoise,dig
blastoise,dive
blastoise,doubleedge
blastoise,doubleteam
blastoise,dragonpulse
blastoise,dragontail
blastoise,dynamicpunch
blastoise,earthquake
blastoise,endure
blastoise,facade
blastoise,fakeout
blastoise,falseswipe
blastoise,fissure
blastoise,flashcannon
blastoise,fling
blastoise,flipturn
blastoise,focusblast
blastoise,focuspunch
blastoise,frustration
blastoise,gigaimpact
blastoise,gyroball
blastoise,hail
blastoise,haze
blastoise,headbutt
blastoise,helpinghand
blastoise,hiddenpower
blastoise,hydrocannon
blastoise,hydropump
blastoise,hyperbeam
blastoise,icebeam
blastoise,icepunch
blastoise,icespinner
blastoise,icywind
blastoise,irondefense
blastoise,irontail
blastoise,liquidation
blastoise,megakick
blastoise,megapunch
blastoise,mimic
blastoise,muddywater
blastoise,mudshot
blastoise,mudslap
blastoise,naturalgift
blastoise,outrage
blastoise,poweruppunch
blastoise,protect
blastoise,rage
blastoise,raindance
blastoise,rapidspin
blastoise,reflect
blastoise,rest
blastoise,return
blastoise,roar
blastoise,rockclimb
blastoise,rockslide
blastoise,rocksmash
blastoise,rocktomb
blastoise,rollout
blastoise,round
blastoise,scald
blastoise,scaryface
blastoise,secretpower
blastoise,seismictoss
blastoise,shellsmash
blastoise,signalbeam
blastoise,skullbash
blastoise,sleeptalk
blastoise,smackdown
blastoise,snore
blastoise,strength
blastoise,submission
blastoise,substitute
blastoise,surf
blastoise,swagger
blastoise,tackle
blastoise,tailwhip
blastoise,takedown
blastoise,terablast
blastoise,terrainpulse
blastoise,toxic
blastoise,waterfall
blastoise,watergun
blastoise,waterpledge
blastoise,waterpulse
blastoise,wavecrash
blastoise,weatherball
blastoise,whirlpool
blastoise,withdraw
blastoise,workup
blastoise,zenheadbutt
caterpie,bugbite
caterpie,electroweb
caterpie,snore
caterpie,stringshot
caterpie,tackle
metapod,bugbite
metapod,electroweb
metapod,harden
metapod,irondefense
metapod,stringshot
butterfree,acrobatics
butterfree,aerialace
butterfree,aircutter
butterfree,airslash
butterfree,attract
butterfree,batonpass
butterfree,bide
butterfree,bugbite
butterfree,bugbuzz
butterfree,captivate
butterfree,confide
butterfree,confusion
butterfree,curse
butterfree,defog
butterfree,doubleedge
butterfree,doubleteam
butterfree,drainingkiss
butterfree,dreameater
butterfree,dualwingbeat
butterfree,electroweb
butterfree,endure
butterfree,energyball
butterfree,facade
butterfree,flash
butterfree,frustration
butterfree,gigadrain
butterfree,gigaimpact
butterfree,gust
butterfree,harden
butterfree,headbutt
butterfree,hiddenpower
butterfree,hurricane
butterfree,hyperbeam
butterfree,infestation
butterfree,irondefense
butterfree,megadrain
butterfree,mimic
butterfree,morningsun
butterfree,naturalgift
butterfree,nightmare
butterfree,ominouswind
butterfree,poisonpowder
butterfree,pollenpuff
butterfree,protect
butterfree,psybeam
butterfree,psychic
butterfree,psychup
butterfree,psywave
butterfree,quiverdance
butterfree,rage
butterfree,ragepowder
butterfree,raindance
butterfree,razorwind
butterfree,reflect
butterfree,rest
butterfree,return
butterfree,roost
butterfree,round
butterfree,safeguard
butterfree,secretpower
butterfree,shadowball
butterfree,signalbeam
butterfree,silverwind
butterfree,skillswap
butterfree,sleeppowder
butterfree,sleeptalk
butterfree,snore
butterfree,solarbeam
butterfree,stringshot
butterfree,strugglebug
butterfree,stunspore
butterfree,substitute
butterfree,sunnyday
butterfree,supersonic
butterfree,swagger
butterfree,sweetscent
butterfree,swift
butterfree,tackle
butterfree,tailwind
butterfree,takedown
butterfree,teleport
butterfree,thief
butterfree,toxic
butterfree,twister
butterfree,uturn
butterfree,venoshock
butterfree,whirlwind
weedle,bugbite
weedle,electroweb
weedle,poisonsting
weedle,stringshot
kakuna,bugbite
kakuna,electroweb
kakuna,harden
kakuna,irondefense
kakuna,stringshot
beedrill,acrobatics
beedrill,aerialace
beedrill,agility
beedrill,aircutter
beedrill,assurance
beedrill,attract
beedrill,batonpass
beedrill,bide
beedrill,brickbreak
beedrill,brutalswing
beedrill,bugbite
beedrill,captivate
beedrill,confide
beedrill,curse
beedrill,cut
beedrill,defog
beedrill,doubleedge
beedrill,doubleteam
beedrill,drillrun
beedrill,electroweb
beedrill,endeavor
beedrill,endure
beedrill,facade
beedrill,falseswipe
beedrill,fellstinger
beedrill,flash
beedrill,focusenergy
beedrill,frustration
beedrill,furyattack
beedrill,furycutter
beedrill,gigadrain
beedrill,gigaimpact
beedrill,headbutt
beedrill,hiddenpower
beedrill,hyperbeam
beedrill,infestation
beedrill,knockoff
beedrill,laserfocus
beedrill,megadrain
beedrill,mimic
beedrill,naturalgift
beedrill,ominouswind
beedrill,outrage
beedrill,payback
beedrill,peck
beedrill,pinmissile
beedrill,poisonjab
beedrill,protect
beedrill,pursuit
beedrill,rage
beedrill,reflect
beedrill,rest
beedrill,return
beedrill,rocksmash
beedrill,roost
beedrill,round
beedrill,secretpower
beedrill,silverwind
beedrill,skullbash
beedrill,sleeptalk
beedrill,sludgebomb
beedrill,snore
beedrill,solarbeam
beedrill,stringshot
beedrill,strugglebug
beedrill,substitute
beedrill,sunnyday
beedrill,swagger
beedrill,sweetscent
beedrill,swift
beedrill,swordsdance
beedrill,tailwind
beedrill,takedown
beedrill,thief
beedrill,throatchop
beedrill,toxic
beedrill,toxicspikes
beedrill,twineedle
beedrill,uturn
beedrill,venoshock
beedrill,xscissor
pidgey,aerialace
pidgey,agility
pidgey,aircutter
pidgey,airslash
pidgey,attract
pidgey,bide
pidgey,bravebird
pidgey,captivate
pidgey,confide
pidgey,curse
pidgey,defog
pidgey,detect
pidgey,doubleedge
pidgey,doubleteam
pidgey,endure
pidgey,facade
pidgey,featherdance
pidgey,feintattack
pidgey,fly
pidgey,foresight
pidgey,frustration
pidgey,gust
pidgey,headbutt
pidgey,heatwave
pidgey,hiddenpower
pidgey,hurricane
pidgey,mimic
pidgey,mirrormove
pidgey,mudslap
pidgey,naturalgift
pidgey,ominouswind
pidgey,pluck
pidgey,protect
pidgey,pursuit
pidgey,quickattack
pidgey,rage
pidgey,raindance
pidgey,razorwind
pidgey,reflect
pidgey,rest
pidgey,return
pidgey,roost
pidgey,round
pidgey,sandattack
pidgey,secretpower
pidgey,skyattack
pidgey,sleeptalk
pidgey,snore
pidgey,steelwing
pidgey,substitute
pidgey,sunnyday
pidgey,swagger
pidgey,swift
pidgey,tackle
pidgey,tailwind
pidgey,takedown
pidgey,thief
pidgey,toxic
pidgey,twister
pidgey,uproar
pidgey,uturn
pidgey,whirlwind
pidgey,wingattack
pidgey,workup
pidgeotto,aerialace
pidgeotto,agility
pidgeotto,aircutter
pidgeotto,airslash
pidgeotto,attract
pidgeotto,bide
pidgeotto,captivate
pidgeotto,confide
pidgeotto,curse
pidgeotto,defog
pidgeotto,detect
pidgeotto,doubleedge
pidgeotto,doubleteam
pidgeotto,endure
pidgeotto,facade
pidgeotto,featherdance
pidgeotto,fly
pidgeotto,frustration
pidgeotto,gust
pidgeotto,headbutt
pidgeotto,heatwave
pidgeotto,hiddenpower
pidgeotto,hurricane
pidgeotto,mimic
pidgeotto,mirrormove
pidgeotto,mudslap
pidgeotto,naturalgift
pidgeotto,ominouswind
pidgeotto,pluck
pidgeotto,protect
pidgeotto,quickattack
pidgeotto,rage
pidgeotto,raindance
pidgeotto,razorwind
pidgeotto,reflect
pidgeotto,refresh
pidgeotto,rest
pidgeotto,return
pidgeotto,roost
pidgeotto,round
pidgeotto,sandattack
pidgeotto,secretpower
pidgeotto,skyattack
pidgeotto,sleeptalk
pidgeotto,snore
pidgeotto,steelwing
pidgeotto,substitute
pidgeotto,sunnyday
pidgeotto,swagger
pidgeotto,swift
pidgeotto,tackle
pidgeotto,tailwind
pidgeotto,takedown
pidgeotto,thief
pidgeotto,toxic
pidgeotto,twister
pidgeotto,uproar
pidgeotto,uturn
pidgeotto,whirlwind
pidgeotto,wingattack
pidgeotto,workup
pidgeot,aerialace
pidgeot,agility
pidgeot,aircutter
pidgeot,airslash
pidgeot,attract
pidgeot,bide
pidgeot,captivate
pidgeot,confide
pidgeot,curse
pidgeot,defog
pidgeot,detect
pidgeot,doubleedge
pidgeot,doubleteam
pidgeot,endure
pidgeot,facade
pidgeot,featherdance
pidgeot,fly
pidgeot,frustration
pidgeot,gigaimpact
pidgeot,gust
pidgeot,headbutt
pidgeot,heatwave
pidgeot,hiddenpower
pidgeot,hurricane
pidgeot,hyperbeam
pidgeot,laserfocus
pidgeot,mimic
pidgeot,mirrormove
pidgeot,mudslap
pidgeot,naturalgift
pidgeot,ominouswind
pidgeot,pluck
pidgeot,protect
pidgeot,quickattack
pidgeot,rage
pidgeot,raindance
pidgeot,razorwind
pidgeot,reflect
pidgeot,rest
pidgeot,return
pidgeot,roost
pidgeot,round
pidgeot,sandattack
pidgeot,secretpower
pidgeot,skyattack
pidgeot,sleeptalk
pidgeot,snore
pidgeot,steelwing
pidgeot,substitute
pidgeot,sunnyday
pidgeot,swagger
pidgeot,swift
pidgeot,tackle
pidgeot,tailwind
pidgeot,takedown
pidgeot,thief
pidgeot,toxic
pidgeot,twister
pidgeot,uproar
pidgeot,uturn
pidgeot,whirlwind
pidgeot,wingattack
pidgeot,workup
rattata,assurance
rattata,attract
rattata,bide
rattata,bite
rattata,blizzard
rattata,bodyslam
rattata,bubblebeam
rattata,captivate
rattata,chargebeam
rattata,confide
rattata,counter
rattata,covet
rattata,crunch
rattata,curse
rattata,cut
rattata,defensecurl
rattata,dig
rattata,doubleedge
rattata,doubleteam
rattata,endeavor
rattata,endure
rattata,facade
rattata,finalgambit
rattata,flamewheel
rattata,focusenergy
rattata,frustration
rattata,furyswipes
rattata,grassknot
rattata,headbutt
rattata,hiddenpower
rattata,hyperfang
rattata,icebeam
rattata,icywind
rattata,irontail
rattata,lastresort
rattata,mefirst
rattata,mimic
rattata,mudslap
rattata,naturalgift
rattata,pluck
rattata,protect
rattata,pursuit
rattata,quickattack
rattata,rage
rattata,raindance
rattata,rest
rattata,retaliate
rattata,return
rattata,revenge
rattata,reversal
rattata,rocksmash
rattata,round
rattata,screech
rattata,secretpower
rattata,shadowball
rattata,shockwave
rattata,skullbash
rattata,sleeptalk
rattata,snore
rattata,substitute
rattata,suckerpunch
rattata,sunnyday
rattata,superfang
rattata,swagger
rattata,swift
rattata,tackle
rattata,tailwhip
rattata,takedown
rattata,taunt
rattata,thief
rattata,thunder
rattata,thunderbolt
rattata,thunderwave
rattata,toxic
rattata,uproar
rattata,uturn
rattata,watergun
rattata,wildcharge
rattata,workup
rattata,zenheadbutt
rattataalola,assurance
rattataalola,attract
rattataalola,bite
rattataalola,blizzard
rattataalola,confide
rattataalola,counter
rattataalola,covet
rattataalola,crunch
rattataalola,darkpulse
rattataalola,dig
rattataalola,doubleedge
rattataalola,doubleteam
rattataalola,embargo
rattataalola,endeavor
rattataalola,facade
rattataalola,finalgambit
rattataalola,focusenergy
rattataalola,frustration
rattataalola,furyswipes
rattataalola,grassknot
rattataalola,headbutt
rattataalola,hiddenpower
rattataalola,hyperfang
rattataalola,icebeam
rattataalola,icywind
rattataalola,irontail
rattataalola,lastresort
rattataalola,mefirst
rattataalola,protect
rattataalola,pursuit
rattataalola,quash
rattataalola,quickattack
rattataalola,raindance
rattataalola,rest
rattataalola,return
rattataalola,revenge
rattataalola,reversal
rattataalola,round
rattataalola,shadowball
rattataalola,shadowclaw
rattataalola,shockwave
rattataalola,sleeptalk
rattataalola,sludgebomb
rattataalola,snarl
rattataalola,snatch
rattataalola,snore
